149,Thuglife,2016,12,70.32
150,Rach for the Stars,2016,10,69.84
151,The Farm,2016,4,68.7
152,The Farm,2016,3,68.48
153,Rach for the Stars,2016,2,68.38
154,Yellow Jackets,2016,6,67.52
155,The Farm,2016,14,65.8
156,Legal Beagles,2016,14,65.22
157,Thuglife,2016,4,63.02
158,Rach for the Stars,2016,9,61.24
159,The Farm,2016,15,60
160,Thuglife,2016,6,58.96
