1,Macabre Barbers,2015,3,179.94
2,The Farm,2015,15,152.5
3,Thuglife,2015,6,151.5
4,Legal Beagles,2015,9,150.38
5,The Farm,2015,3,150
6,Facer,2015,6,148.68
7,Facer,2015,8,148.64
8,Facer,2015,13,148.58
9,Facer,2015,14,147.74
10,Dez Dropped It,2015,16,146
11,Facer,2015,5,143
12,Facer,2015,12,140.9
13,Dez Dropped It,2015,15,137.84
14,Dez Dropped It,2015,13,137.26
15,The Farm,2015,1,132.54
16,Dez Dropped It,2015,9,132.32
17,Macabre Barbers,2015,8,131.76
18,Legal Beagles,2015,3,131.06
19,Legal Beagles,2015,12,130.62
20,Thuglife,2015,7,130.4
21,Factory of Sadness,2015,15,129.98
22,Factory of Sadness,2015,12,129.76
23,Dez Dropped It,2015,8,128.68
24,Legal Beagles,2015,16,126.9
25,Thuglife,2015,12,125.08
26,The Farm,2015,8,123.72
27,Factory of Sadness,2015,13,123.28
28,Dez Dropped It,2015,14,121.72
29,Dez Dropped It,2015,10,120.94
30,Legal Beagles,2015,6,120.88
31,Legal Beagles,2015,13,120.12
32,The Farm,2015,11,118.54
33,Legal Beagles,2015,8,117.8
34,Yep,2015,3,117.4
35,Macabre Barbers,2015,9,116.3
36,Facer,2015,3,115.92
37,Facer,2015,15,115.88
38,Macabre Barbers,2015,6,115.64
39,Facer,2015,9,115.56
40,Dez Dropped It,2015,2,115.12
41,Legal Beagles,2015,7,114.3
42,Thuglife,2015,13,114.02
43,Yep,2015,9,113.92
44,Macabre Barbers,2015,1,113.68
45,Thuglife,2015,14,113.52
46,Legal Beagles,2015,15,113.24
47,Factory of Sadness,2015,6,112.5
48,Thuglife,2015,9,111.84
49,Thuglife,2015,10,111.32
50,Facer,2015,2,111.06
51,Facer,2015,7,111
52,Factory of Sadness,2015,7,110.64
53,Legal Beagles,2015,10,110.56
54,Thuglife,2015,15,110.46
55,Factory of Sadness,2015,10,110.42
56,Yep,2015,7,109.4
57,Macabre Barbers,2015,15,108.76
58,The Farm,2015,9,108.52
59,Macabre Barbers,2015,5,108.44
60,Macabre Barbers,2015,2,108.3
61,CK,2015,2,108.3
62,Thuglife,2015,4,108.16
63,CK,2015,1,107.12
64,Dez Dropped It,2015,5,106.76
65,Dez Dropped It,2015,1,106.22
66,Macabre Barbers,2015,4,105.38
67,Facer,2015,1,105.02
68,Factory of Sadness,2015,9,103.34
69,Factory of Sadness,2015,4,103.1
70,Macabre Barbers,2015,14,102.3
71,Dez Dropped It,2015,12,102
72,Facer,2015,4,101.9
73,Yep,2015,13,101
74,Thuglife,2015,16,100.84
75,Factory of Sadness,2015,16,100.52
76,Legal Beagles,2015,2,100.4
77,Macabre Barbers,2015,11,99.78
78,The Farm,2015,13,99.64
79,Macabre Barbers,2015,7,98.3
80,The Farm,2015,16,97.58
81,Thuglife,2015,1,97.56
82,Yellow Jackets,2015,4,97.32
83,Factory of Sadness,2015,14,97.2
84,Macabre Barbers,2015,13,96.76
85,The Farm,2015,4,96.66
86,Yep,2015,6,96.12
87,Dez Dropped It,2015,6,95.9
88,CK,2015,8,94.64
89,Factory of Sadness,2015,1,94.24
90,Macabre Barbers,2015,10,93.78
91,The Farm,2015,5,93.74
92,The Farm,2015,14,92.9
93,Thuglife,2015,8,92.58
94,Yellow Jackets,2015,2,92.14
95,The Farm,2015,7,91.98
96,Facer,2015,10,91.76
97,Thuglife,2015,3,91.12
98,CK,2015,5,90.4
99,Yep,2015,10,89.58
100,Macabre Barbers,2015,12,89.14
101,Thuglife,2015,2,88.96
102,Legal Beagles,2015,5,88.9
103,Factory of Sadness,2015,5,88.82
104,The Farm,2015,6,88.36
105,Yellow Jackets,2015,1,88.3
106,Factory of Sadness,2015,11,87.08
107,Yep,2015,12,87.02
108,Facer,2015,16,86.84
109,Yellow Jackets,2015,6,86.1
110,The Farm,2015,2,85.38
111,Factory of Sadness,2015,2,84.84
112,Yep,2015,14,84.26
113,Yep,2015,11,83.6
114,Dez Dropped It,2015,3,83.5
115,Yellow Jackets,2015,13,82.08
116,Yellow Jackets,2015,11,82.04
117,Yep,2015,1,81.64
118,Yep,2015,2,81.24
119,CK,2015,4,80.72
120,Yellow Jackets,2015,15,79.92
121,The Farm,2015,10,79.28
122,Legal Beagles,2015,1,79.1
123,CK,2015,15,78.54
124,Yellow Jackets,2015,7,77.28
125,Thuglife,2015,11,77.08
126,CK,2015,6,76.72
127,Yellow Jackets,2015,12,76.7
128,Factory of Sadness,2015,8,76.08
129,Yep,2015,5,76.04
130,Dez Dropped It,2015,7,75.54
131,Yep,2015,8,75.34
132,CK,2015,12,73.94
133,Legal Beagles,2015,14,73.88
134,Macabre Barbers,2015,16,72.8
135,Yep,2015,4,72.68
136,Thuglife,2015,5,72.64
137,Legal Beagles,2015,11,72.46
138,Factory of Sadness,2015,3,72.38
139,CK,2015,3,70.8
140,Yellow Jackets,2015,16,70.7
141,Yellow Jackets,2015,5,69.34
142,Yellow Jackets,2015,8,68
143,The Farm,2015,12,67.62
144,CK,2015,7,66.12
145,Yellow Jackets,2015,3,66.06
146,Legal Beagles,2015,4,62.94
147,CK,2015,9,62.56
148,Yellow Jackets,2015,14,62.48
149,Facer,2015,11,61.98
150,Yellow Jackets,2015,10,61.76
151,Yep,2015,16,61.1
152,CK,2015,13,60.44
153,Dez Dropped It,2015,4,59.54
154,CK,2015,16,58.86
155,Dez Dropped It,2015,11,58.4
156,CK,2015,10,56.56
157,Yellow Jackets,2015,9,56.44
158,CK,2015,14,48.94
159,CK,2015,11,45
160,Yep,2015,15,29.7
