1,Facer,2017,3,169.02
2,Dez Dropped It,2017,3,137
3,Yep,2017,4,136
4,Factory of Sadness,2017,5,135.34
5,Tedd Ginn's Bastard Children,2017,6,129.02
6,Tedd Ginn's Bastard Children,2017,5,125.42
7,Facer,2017,1,123.58
8,Tedd Ginn's Bastard Children,2017,8,123.32
9,Factory of Sadness,2017,3,123.1
10,Legal Beagles,2017,7,121.98
11,Yep,2017,7,121.26
12,Thuglife,2017,2,119.52
13,Rach for the Stars,2017,7,119.52
14,Dez Dropped It,2017,6,117.24
15,Legal Beagles,2017,2,116.8
16,Yellow Jackets,2017,7,116.32
17,Facer,2017,2,114.98
18,Tedd Ginn's Bastard Children,2017,4,114.34
19,Rach for the Stars,2017,2,113.72
20,Facer,2017,6,113.08
21,Dez Dropped It,2017,1,107.34
22,Thuglife,2017,3,106.22
23,Tedd Ginn's Bastard Children,2017,3,106.08
24,Dez Dropped It,2017,5,103.64
25,The Farm,2017,5,101.6
26,Thuglife,2017,4,98.46
27,Thuglife,2017,5,98.34
28,Yellow Jackets,2017,3,98.06
29,Thuglife,2017,1,97.24
30,Yep,2017,6,96.04
31,Dez Dropped It,2017,4,95.62
32,Factory of Sadness,2017,7,94.92
33,The Farm,2017,6,93.16
34,Factory of Sadness,2017,8,92.42
35,Legal Beagles,2017,8,92.02
36,Thuglife,2017,7,90.96
37,Factory of Sadness,2017,6,90.6
38,Rach for the Stars,2017,6,89.58
39,Yep,2017,5,89.02
40,The Farm,2017,2,88.12
41,Factory of Sadness,2017,2,87.96
42,Legal Beagles,2017,6,87.58
43,Tedd Ginn's Bastard Children,2017,7,87.18
44,Yep,2017,2,86.42
45,Rach for the Stars,2017,5,86.16
46,The Farm,2017,1,85.74
47,Factory of Sadness,2017,1,85.4
48,Yep,2017,1,84.32
49,Thuglife,2017,8,84.12
50,Yellow Jackets,2017,8,83.66
51,Facer,2017,4,83.28
52,Legal Beagles,2017,1,82.98
53,The Farm,2017,3,82.98
54,Yellow Jackets,2017,1,82.14
55,Facer,2017,7,81.66
56,Rach for the Stars,2017,8,81.64
57,Yep,2017,3,80.52
58,Dez Dropped It,2017,8,79.46
59,Factory of Sadness,2017,4,79.4
60,Yellow Jackets,2017,4,79.38
61,Rach for the Stars,2017,1,79.38
62,Tedd Ginn's Bastard Children,2017,2,78.74
63,Dez Dropped It,2017,7,78.74
64,Rach for the Stars,2017,4,77.58
65,Dez Dropped It,2017,2,77.54
66,Facer,2017,5,76.92
67,Legal Beagles,2017,4,76.86
68,Yep,2017,8,76.12
69,The Farm,2017,8,74.76
70,Facer,2017,8,73.02
71,The Farm,2017,4,65.94
72,Yellow Jackets,2017,2,65.68
73,Legal Beagles,2017,3,64.42
74,The Farm,2017,7,63.62
75,Legal Beagles,2017,5,63.56
76,Tedd Ginn's Bastard Children,2017,1,59.1
77,Rach for the Stars,2017,3,56.74
78,Yellow Jackets,2017,6,54.82
79,Thuglife,2017,6,41.92
80,Yellow Jackets,2017,5,38.9
